"id","name","cost","price","category_id","creation_date","active"
1,Action Figure,9234.93459,3415.993,1,"2023-12-14 00:00:00",0
2,Animal Figures,39.93459,142.99,1,"2023-12-14 00:00:00",0
3,Barrel O' Slime,451.949,3.499,2,"2023-12-14 00:00:00",1
4,Chutes & Ladders,945.9944,4512.99,3,"2023-12-14 00:00:00",1
5,Classic Dominoes,7.9459,9546.99,3,"2023-12-14 00:00:00",1
6,Colorbuds,64.99,1454.9349,4,"2023-12-14 00:00:00",1
7,Dart Gun,1134.949,155.939,5,"2023-12-14 00:00:00",1
8,Deck Of Cards,3345.99,6345.99,3,"2023-12-14 00:00:00",1
9,Dino Egg,954.99,140.99,1,"2023-12-14 00:00:00",1
10,Dinosaur Figures,1340.99,14354.99,1,"2023-12-14 00:00:00",1
11,Etch A Sketch,150.99,20.9459,2,"2023-12-14 00:00:00",1
12,Foam Disk Launcher,3458.99,141.99,5,"2023-12-14 00:00:00",1
13,Gamer Headphones,144.99,20.99,4,"2023-12-14 00:00:00",1
14,Glass Marbles,545.99,1450.99,3,"2023-12-14 00:00:00",1
15,Hot Wheels 5-Pack,345.99,545.99,1,"2023-12-14 00:00:00",1
16,Jenga,245.99,459.99,3,"2023-12-14 00:00:00",1
17,Kids Makeup Kit,1453.99,159.99,2,"2023-12-14 00:00:00",1
18,Lego Bricks,3544.99,4539.699,1,"2023-12-14 00:00:00",1
19,Magic Sand,13453.99,15.599,2,"2023-12-14 00:00:00",1
20,Mini Basketball Hoop,558.99,24.99,5,"2023-12-14 00:00:00",1
21,Mini Ping Pong Set,6.91119,935.9549,5,"2023-12-14 00:00:00",1
22,Monopoly,513.599,1954.99,3,"2023-12-14 00:00:00",1
23,Mr. Potatohead,54.99,95.9349,1,"2023-12-14 00:00:00",1
24,Nerf Gun,14453.99,159.99,5,"2023-12-14 00:00:00",1
25,PlayDoh Can,341.9459,452.599,2,"2023-12-14 00:00:00",1
26,PlayDoh Playset,20.92349,2234.99,2,"2023-12-14 00:00:00",1
27,PlayDoh Toolkit,32.92439,24.9239,2,"2023-12-14 00:00:00",1
28,Playfoam,3.92439,10.3499,2,"2023-12-14 00:00:00",1
29,Plush Pony,8.34599,14569.699,1,"2023-12-14 00:00:00",1
30,Rubik's Cube,17456.99,19.969,3,"2023-12-14 00:00:00",1
31,Splash Balls,7.3499,855.99,5,"2023-12-14 00:00:00",1
32,Supersoaker Water Gun,1341.99,1554.99,5,"2023-12-14 00:00:00",1
33,Teddy Bear,3553.0,353.1,1,"2023-12-14 00:00:00",1
34,Toy Robot,3534.0,34.1,4,"2023-12-14 00:00:00",1
35,Uno Card Game,-100.99,7.99,3,"2023-12-14 00:00:00",1
36,Testing from API,122.0,12.9934,4,"2023-12-15 10:30:04",1
37,This is not a test. Is a real toy for sure my friend,93333339.9449,4420.01,1,"2023-12-15 10:32:32",0
39,test before 2024,10340.0,99.330,1,"2023-12-22 09:24:32",0
40,this is the real name,123339.99,133400.0,1,"2023-12-22 10:49:51",0
